CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
DOMESTIC VIOLENCE,04/02/2025 05:45:00 PM,25-014753,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,1701 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.27461 37.80834)
MISCELLANEOUS TRAFFIC CRIME,03/07/2025 05:02:00 PM,25-010465,UNLICENSED DRIVER,32X,1100 98TH AV,Oakland,CA,POINT (-122.17553 37.742)
STOLEN VEHICLE,02/09/2025 03:30:00 PM,25-006157,VEHICLE THEFT - AUTO,03X,171 12TH ST,Oakland,CA,POINT (-122.26537 37.80032)
DOMESTIC VIOLENCE,03/03/2025 05:22:00 PM,25-009685,VANDALISM,32X,1628 99TH AV,Oakland,CA,POINT (-122.16675 37.74435)
DISORDERLY CONDUCT,02/02/2025 01:54:00 AM,25-005033,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,03Y,464 7TH ST,Oakland,CA,POINT (-122.27482 37.79998)
VANDALISM,03/21/2025 09:46:00 PM,25-902503,VANDALISM,08X,2300 WEBSTER ST,Oakland,CA,POINT (-122.26525 37.81198)
ROBBERY,02/07/2025 06:00:00 AM,25-005807,"ATT ROBBERY/INHABITED DWELLING - STRONGARM (HANDS, FISTS, FEET, ETC)",07X,3650 MANDELA PKWY,Oakland,CA,POINT (-122.28834 37.82739)
PETTY THEFT,02/07/2025 10:28:00 AM,25-005911,THEFT,20X,2963 GLASCOCK ST,Oakland,CA,POINT (-122.23303 37.77178)
NARCOTICS,03/26/2025 02:25:00 PM,25-013502,CARRY CONCEALED WEAPON IN VEHICLE : OCCUPANT,99X,34664 ALVARADO NILES RD,Oakland,CA,POINT (-122.01856 37.58683)
ROBBERY,03/05/2025 06:50:00 PM,25-010158,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,32X,100TH AV & WALNUT ST,Oakland,CA,POINT (-122.16694 37.74336)
MISDEMEANOR ASSAULT,04/01/2025 02:45:00 AM,25-014324,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,19X,1000 EMBARCADERO COVE,Oakland,CA,POINT (-122.2527 37.78855)
NARCOTICS,04/09/2025 07:30:00 PM,25-015810,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,30X,7629 LOCKWOOD ST,Oakland,CA,POINT (-122.17924 37.76103)
MISDEMEANOR ASSAULT,02/22/2025 10:41:00 AM,25-008382,THREAT CRIME:INT:TERRORIZE,26X,5401 COLISEUM WY,Oakland,CA,POINT (-122.21205 37.76055)
